column_names
r
m (kg)
Mt
Ewltp (g/km)
ec (cm3)
ep (KW)
Ft_PETROL
Ft_PETROL/ELECTRIC
Ft_diesel
Ft_diesel/electric
Ft_e85
Ft_electric
Ft_hydrogen
Ft_lpg
Ft_ng
Ft_petrol
Ft_petrol/electric
Fm_E
Fm_F
Fm_H
Fm_M
Fm_P
